,ENSDCDT00000032969_ENSDCDG00000018406,ENSCHAT00000001037_ENSCHAG00000000662,ENSIPUT00000029421_ENSIPUG00000019147,ENSIPUT00000029433_ENSIPUG00000019155,ENSIPUT00000029448_ENSIPUG00000019155,ENSEEET00000035697_ENSEEEG00000016794,ENSEEET00000035699_ENSEEEG00000016794,ENSEEET00000035701_ENSEEEG00000016794,ENSEEET00000039594_ENSEEEG00000018596,ENSPNAT00000017823_ENSPNAG00000016612,ENSPNAT00000021137_ENSPNAG00000019399,ENSPNAT00000021151_ENSPNAG00000019399,ENSPNAT00000021178_ENSPNAG00000019399,ENSPNAT00000021180_ENSPNAG00000019399,ENSPNAT00000021184_ENSPNAG00000019399,ENSAMXT00000037541_ENSAMXG00000029480,ENSAMXT00000040275_ENSAMXG00000038859,ENSAMXT00000034564_ENSAMXG00000041198,ENSDART00000171258_ENSDARG00000100946,ENSDART00000173691_ENSDARG00000100946,ENSDART00000125584_ENSDARG00000086421,ENSDART00000173774_ENSDARG00000086421,ENSELUT00000010918_ENSELUG00000006328,ENSELUT00000010929_ENSELUG00000006328,ENSELUT00000011706_ENSELUG00000005929,ENSELUT00000011717_ENSELUG00000005929,ENSHHUT00000011460_ENSHHUG00000006804,ENSHHUT00000011464_ENSHHUG00000006804,ENSHHUT00000011477_ENSHHUG00000006804,ENSHHUT00000047888_ENSHHUG00000028144,ENSHHUT00000047873_ENSHHUG00000028135,ENSHHUT00000069767_ENSHHUG00000039791,ENSELUT00000003600_ENSELUG00000010141,ENSAOCT00000019271_ENSAOCG00000016109,ENSAPET00000015333_ENSAPEG00000010660,ENSAPET00000015340_ENSAPEG00000010660,ENSAPOT00000005761_ENSAPOG00000008832,ENSSPAT00000005384_ENSSPAG00000004095,ENSPRNT00000029944_ENSPRNG00000014072,ENSPNYT00000006488_ENSPNYG00000004882,ENSHBUT00000016653_ENSHBUG00000011455,ENSMZET00005012480_ENSMZEG00005009059,ENSACLT00000009365_ENSACLG00000006245,ENSNBRT00000023335_ENSNBRG00000017417,ENSONIT00000019793_ENSONIG00000015713,ENSACIT00000021987_ENSACIG00000016648,ENSPFOT00000014182_ENSPFOG00000014148,ENSPMET00000009459_ENSPMEG00000005484,ENSPLAT00000022591_ENSPLAG00000017973,ENSPRET00000006355_ENSPREG00000004362,ENSGAFT00000028805_ENSGAFG00000019275,ENSXMAT00000040015_ENSXMAG00000025602,ENSKMAT00000007690_ENSKMAG00000005701,ENSOMET00000009694_ENSOMEG00000005062,ENSGWIT00000006549_ENSGWIG00000003462,ENSGWIT00000006550_ENSGWIG00000003462,ENSGWIT00000006552_ENSGWIG00000003462,ENSSDUT00000005047_ENSSDUG00000003672
ENSONIT00000019793_ENSONIG00000015713,0.56,0.56,0.28,0.51,0.4,0.62,0.62,0.75,0.74,0.58,0.69,0.38,0.51,0.16,0.3,0.38,0.37,0.42,0.56,0.25,0.56,0.5,0.57,0.62,0.58,0.75,0.56,0.62,0.42,0.33,0.75,0.42,0.42,0.7,0.58,0.7,0.7,0.7,0.76,0.77,0.77,0.77,0.76,0.77,1.0,0.35,0.75,0.75,0.75,0.69,0.75,0.75,0.75,0.2,0.18,0.26,0.19,0.76
ENSACIT00000021987_ENSACIG00000016648,0.31,0.31,0.22,0.2,0.2,0.26,0.26,0.34,0.34,0.43,0.28,0.25,0.25,0.17,0.19,0.25,0.25,0.31,0.31,0.29,0.31,0.24,0.26,0.32,0.44,0.34,0.25,0.32,0.25,0.23,0.34,0.3,0.31,0.35,0.37,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,1.0,0.35,0.35,0.35,0.29,0.35,0.35,0.35,0.29,0.19,0.15,0.2,0.35
ENSPFOT00000014182_ENSPFOG00000014148,0.56,0.56,0.28,0.51,0.4,0.62,0.62,0.74,0.74,0.57,0.69,0.38,0.51,0.16,0.3,0.37,0.37,0.42,0.56,0.25,0.56,0.49,0.57,0.62,0.58,0.75,0.56,0.62,0.42,0.33,0.75,0.41,0.42,0.7,0.57,0.7,0.7,0.7,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.35,1.0,0.77,0.77,0.71,0.76,0.76,0.75,0.2,0.18,0.26,0.19,0.75
ENSPMET00000009459_ENSPMEG00000005484,0.56,0.56,0.28,0.51,0.4,0.62,0.62,0.74,0.74,0.57,0.69,0.38,0.51,0.16,0.3,0.37,0.37,0.42,0.56,0.25,0.56,0.49,0.57,0.62,0.58,0.75,0.56,0.62,0.42,0.33,0.75,0.41,0.42,0.7,0.57,0.7,0.7,0.7,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.35,0.77,1.0,0.77,0.71,0.77,0.76,0.75,0.2,0.18,0.26,0.19,0.75
ENSPLAT00000022591_ENSPLAG00000017973,0.56,0.56,0.28,0.51,0.4,0.62,0.62,0.74,0.74,0.57,0.69,0.38,0.51,0.16,0.3,0.37,0.37,0.42,0.56,0.25,0.56,0.49,0.57,0.62,0.58,0.75,0.56,0.62,0.42,0.33,0.75,0.41,0.42,0.7,0.57,0.7,0.7,0.7,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.35,0.77,0.77,1.0,0.71,0.77,0.76,0.75,0.2,0.18,0.26,0.19,0.75
ENSPRET00000006355_ENSPREG00000004362,0.51,0.51,0.24,0.56,0.43,0.69,0.69,0.69,0.69,0.52,0.78,0.4,0.56,0.17,0.32,0.4,0.4,0.37,0.51,0.2,0.51,0.54,0.63,0.57,0.52,0.69,0.62,0.57,0.47,0.37,0.69,0.37,0.38,0.64,0.52,0.64,0.64,0.64,0.7,0.69,0.69,0.69,0.69,0.69,0.69,0.29,0.71,0.71,0.71,1.0,0.71,0.7,0.69,0.14,0.18,0.28,0.2,0.7
ENSGAFT00000028805_ENSGAFG00000019275,0.56,0.56,0.28,0.51,0.4,0.62,0.62,0.74,0.74,0.57,0.69,0.38,0.51,0.16,0.3,0.37,0.37,0.42,0.56,0.25,0.56,0.5,0.57,0.62,0.58,0.75,0.56,0.62,0.42,0.33,0.75,0.41,0.42,0.7,0.57,0.7,0.7,0.7,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.35,0.76,0.77,0.77,0.71,1.0,0.77,0.75,0.2,0.18,0.26,0.19,0.75
ENSXMAT00000040015_ENSXMAG00000025602,0.56,0.56,0.28,0.51,0.4,0.62,0.62,0.74,0.74,0.57,0.69,0.38,0.51,0.16,0.3,0.37,0.37,0.42,0.56,0.25,0.56,0.49,0.57,0.62,0.58,0.75,0.56,0.62,0.42,0.33,0.75,0.41,0.42,0.7,0.57,0.7,0.7,0.7,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.35,0.76,0.76,0.76,0.7,0.77,1.0,0.75,0.2,0.18,0.26,0.19,0.75
ENSKMAT00000007690_ENSKMAG00000005701,0.56,0.56,0.28,0.51,0.4,0.62,0.62,0.74,0.74,0.57,0.69,0.38,0.51,0.16,0.3,0.37,0.37,0.42,0.56,0.25,0.56,0.49,0.57,0.62,0.58,0.75,0.56,0.62,0.42,0.33,0.75,0.41,0.42,0.7,0.57,0.7,0.7,0.7,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.35,0.75,0.75,0.75,0.69,0.75,0.75,1.0,0.2,0.18,0.26,0.19,0.75
ENSOMET00000009694_ENSOMEG00000005062,0.19,0.18,0.16,0.2,0.2,0.14,0.14,0.19,0.19,0.26,0.14,0.13,0.13,0.17,0.19,0.13,0.13,0.18,0.18,0.21,0.18,0.13,0.13,0.18,0.26,0.19,0.13,0.18,0.13,0.22,0.19,0.17,0.18,0.2,0.19,0.2,0.19,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.29,0.2,0.2,0.2,0.14,0.2,0.2,0.2,1.0,0.13,0.15,0.3,0.2
ENSGWIT00000006549_ENSGWIG00000003462,0.23,0.23,0.23,0.13,0.13,0.18,0.18,0.18,0.18,0.17,0.18,0.24,0.24,0.24,0.24,0.24,0.24,0.23,0.23,0.31,0.23,0.23,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.13,0.18,0.22,0.23,0.18,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.19,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.13,1.0,0.26,0.14,0.18
ENSGWIT00000006550_ENSGWIG00000003462,0.33,0.33,0.33,0.26,0.18,0.26,0.26,0.26,0.26,0.14,0.28,0.36,0.36,0.18,0.36,0.36,0.35,0.33,0.33,0.22,0.33,0.35,0.21,0.2,0.14,0.26,0.21,0.2,0.13,0.15,0.26,0.22,0.23,0.22,0.13,0.22,0.22,0.22,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.15,0.26,0.26,0.26,0.28,0.26,0.26,0.26,0.15,0.26,1.0,0.15,0.26
ENSGWIT00000006552_ENSGWIG00000003462,0.14,0.14,0.13,0.25,0.25,0.19,0.19,0.19,0.19,0.24,0.2,0.14,0.14,0.17,0.19,0.14,0.13,0.13,0.14,0.15,0.14,0.13,0.19,0.18,0.24,0.19,0.18,0.18,0.18,0.27,0.19,0.12,0.17,0.19,0.2,0.19,0.19,0.19,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.2,0.19,0.19,0.19,0.2,0.19,0.19,0.19,0.3,0.14,0.15,1.0,0.2
ENSSDUT00000005047_ENSSDUG00000003672,0.56,0.56,0.28,0.51,0.4,0.62,0.62,0.75,0.75,0.58,0.69,0.38,0.51,0.16,0.3,0.38,0.37,0.42,0.56,0.25,0.56,0.5,0.57,0.62,0.58,0.75,0.56,0.62,0.43,0.34,0.75,0.42,0.42,0.7,0.58,0.7,0.7,0.7,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.35,0.75,0.75,0.75,0.7,0.75,0.75,0.75,0.2,0.18,0.26,0.2,1.0
