,ENSSFOT00015034970_ENSSFOG00015022045,ENSSFOT00015034984_ENSSFOG00015022045,ENSSFOT00015035002_ENSSFOG00015022045,ENSSFOT00015035017_ENSSFOG00015022045,ENSPKIT00000003981_ENSPKIG00000006972,ENSPKIT00000004012_ENSPKIG00000006972,ENSPKIT00000004044_ENSPKIG00000006972,ENSPKIT00000032867_ENSPKIG00000024133,ENSPKIT00000032885_ENSPKIG00000024133,ENSPKIT00000032895_ENSPKIG00000024133,ENSPKIT00000032904_ENSPKIG00000024133,ENSPKIT00000032915_ENSPKIG00000024133,ENSSFOT00015002307_ENSSFOG00015001533,ENSCHAT00000049246_ENSCHAG00000020156,ENSCHAT00000049262_ENSCHAG00000020156,ENSCHAT00000049303_ENSCHAG00000020156,ENSCHAT00000049332_ENSCHAG00000020156,ENSCHAT00000049372_ENSCHAG00000020156,ENSCHAT00000049399_ENSCHAG00000020156,ENSCHAT00000049432_ENSCHAG00000020156,ENSCHAT00000049457_ENSCHAG00000020156,ENSCHAT00000049485_ENSCHAG00000020156,ENSDCDT00000014588_ENSDCDG00000004583,ENSDCDT00000014602_ENSDCDG00000004583,ENSDCDT00000014606_ENSDCDG00000004583,ENSDCDT00000014613_ENSDCDG00000004583,ENSDCDT00000014803_ENSDCDG00000004583,ENSDCDT00000014868_ENSDCDG00000004583,ENSDCDT00000014987_ENSDCDG00000004583,ENSDART00000161289_ENSDARG00000102730,ENSDART00000159899_ENSDARG00000102730,ENSDART00000162834_ENSDARG00000102730,ENSDART00000160711_ENSDARG00000102730,ENSDART00000161753_ENSDARG00000102730,ENSELUT00000032269_ENSELUG00000020634,ENSELUT00000032274_ENSELUG00000020634,ENSHHUT00000041931_ENSHHUG00000024945,ENSHHUT00000083238_ENSHHUG00000045800,ENSHHUT00000083269_ENSHHUG00000045800,ENSHHUT00000083285_ENSHHUG00000045800,ENSHHUT00000083288_ENSHHUG00000045800,ENSHHUT00000083468_ENSHHUG00000045800,ENSHHUT00000083476_ENSHHUG00000045800,ENSHHUT00000083481_ENSHHUG00000045800,ENSHHUT00000083501_ENSHHUG00000045800,ENSAMXT00000048268_ENSAMXG00000030412,ENSAMXT00000033115_ENSAMXG00000030412,ENSPNAT00000021936_ENSPNAG00000020204,ENSPNAT00000022015_ENSPNAG00000020204,ENSPNAT00000037238_ENSPNAG00000020204,ENSPNAT00000037256_ENSPNAG00000020204,ENSEEET00000035044_ENSEEEG00000016475,ENSIPUT00000024496_ENSIPUG00000015786,ENSIPUT00000024528_ENSIPUG00000015786,ENSIPUT00000024565_ENSIPUG00000015786,ENSIPUT00000024581_ENSIPUG00000015786,ENSIPUT00000024611_ENSIPUG00000015786
ENSHHUT00000083501_ENSHHUG00000045800,0.64,0.7,0.6,0.63,0.7,0.62,0.63,0.69,0.6,0.6,0.6,0.69,0.21,0.66,0.63,0.63,0.67,0.6,0.6,0.67,0.66,0.64,0.67,0.62,0.67,0.6,0.7,0.66,0.7,0.6,0.66,0.63,0.67,0.66,0.17,0.39,0.37,0.65,0.59,0.68,0.62,0.64,0.61,0.64,1.0,0.45,0.41,0.36,0.49,0.47,0.2,0.42,0.51,0.56,0.63,0.54,0.59
ENSAMXT00000048268_ENSAMXG00000030412,0.43,0.45,0.46,0.48,0.5,0.5,0.46,0.5,0.43,0.43,0.43,0.5,0.19,0.41,0.48,0.5,0.45,0.47,0.41,0.45,0.47,0.46,0.46,0.5,0.54,0.41,0.45,0.46,0.5,0.39,0.46,0.41,0.45,0.46,0.15,0.31,0.34,0.43,0.43,0.47,0.46,0.45,0.41,0.38,0.45,1.0,0.45,0.34,0.35,0.34,0.14,0.33,0.43,0.45,0.45,0.46,0.48
ENSAMXT00000033115_ENSAMXG00000030412,0.39,0.41,0.41,0.44,0.45,0.56,0.42,0.46,0.5,0.5,0.5,0.46,0.25,0.4,0.44,0.56,0.41,0.42,0.46,0.41,0.44,0.43,0.47,0.56,0.49,0.47,0.41,0.43,0.46,0.4,0.47,0.42,0.41,0.47,0.15,0.37,0.4,0.39,0.47,0.52,0.41,0.44,0.46,0.44,0.41,0.45,1.0,0.4,0.41,0.39,0.18,0.4,0.5,0.53,0.44,0.44,0.53
ENSPNAT00000021936_ENSPNAG00000020204,0.34,0.36,0.36,0.38,0.4,0.4,0.33,0.4,0.43,0.43,0.43,0.4,0.36,0.35,0.38,0.4,0.36,0.4,0.41,0.36,0.38,0.43,0.41,0.4,0.43,0.41,0.36,0.37,0.4,0.35,0.41,0.37,0.36,0.41,0.19,0.57,0.64,0.34,0.34,0.38,0.37,0.38,0.41,0.38,0.36,0.34,0.4,1.0,0.51,0.48,0.25,0.64,0.37,0.39,0.39,0.39,0.39
ENSPNAT00000022015_ENSPNAG00000020204,0.49,0.52,0.43,0.45,0.48,0.41,0.4,0.48,0.51,0.51,0.51,0.48,0.29,0.51,0.45,0.42,0.52,0.37,0.49,0.49,0.44,0.51,0.49,0.41,0.44,0.49,0.52,0.44,0.48,0.5,0.49,0.53,0.52,0.49,0.27,0.56,0.51,0.49,0.43,0.48,0.46,0.45,0.49,0.56,0.49,0.35,0.41,0.51,1.0,0.72,0.32,0.66,0.37,0.39,0.45,0.39,0.39
ENSPNAT00000037238_ENSPNAG00000020204,0.47,0.5,0.41,0.43,0.45,0.39,0.39,0.45,0.49,0.49,0.49,0.45,0.28,0.49,0.43,0.39,0.5,0.36,0.46,0.47,0.43,0.49,0.46,0.39,0.42,0.46,0.5,0.43,0.45,0.48,0.46,0.51,0.5,0.46,0.26,0.57,0.48,0.47,0.41,0.46,0.44,0.43,0.53,0.53,0.47,0.34,0.39,0.48,0.72,1.0,0.3,0.62,0.36,0.38,0.44,0.38,0.38
ENSPNAT00000037256_ENSPNAG00000020204,0.22,0.23,0.17,0.16,0.17,0.17,0.18,0.17,0.18,0.18,0.18,0.17,0.33,0.22,0.16,0.17,0.23,0.18,0.18,0.21,0.16,0.18,0.18,0.17,0.18,0.19,0.23,0.16,0.17,0.23,0.18,0.24,0.23,0.18,0.42,0.24,0.25,0.22,0.22,0.24,0.23,0.16,0.18,0.24,0.2,0.14,0.18,0.25,0.32,0.3,1.0,0.4,0.16,0.16,0.16,0.17,0.17
ENSEEET00000035044_ENSEEEG00000016475,0.43,0.45,0.37,0.38,0.4,0.4,0.33,0.4,0.43,0.43,0.43,0.4,0.36,0.43,0.38,0.4,0.45,0.39,0.41,0.42,0.38,0.43,0.41,0.4,0.43,0.41,0.45,0.38,0.4,0.44,0.41,0.46,0.45,0.41,0.33,0.57,0.64,0.43,0.43,0.48,0.45,0.38,0.41,0.48,0.42,0.33,0.4,0.64,0.66,0.62,0.4,1.0,0.37,0.38,0.38,0.39,0.39
ENSIPUT00000024496_ENSIPUG00000015786,0.57,0.52,0.59,0.63,0.57,0.68,0.51,0.57,0.51,0.51,0.51,0.57,0.21,0.5,0.63,0.68,0.49,0.54,0.5,0.52,0.54,0.51,0.57,0.68,0.61,0.51,0.52,0.54,0.57,0.56,0.57,0.58,0.59,0.57,0.12,0.34,0.37,0.56,0.65,0.63,0.59,0.6,0.5,0.48,0.51,0.43,0.5,0.37,0.37,0.36,0.16,0.37,1.0,0.75,0.64,0.75,0.65
ENSIPUT00000024528_ENSIPUG00000015786,0.52,0.57,0.54,0.57,0.64,0.75,0.57,0.64,0.56,0.56,0.56,0.64,0.21,0.55,0.57,0.75,0.54,0.61,0.56,0.57,0.6,0.57,0.63,0.75,0.68,0.56,0.57,0.59,0.64,0.51,0.63,0.53,0.54,0.63,0.13,0.36,0.39,0.51,0.6,0.7,0.54,0.67,0.56,0.53,0.56,0.45,0.53,0.39,0.39,0.38,0.16,0.38,0.75,1.0,0.71,0.69,0.71
ENSIPUT00000024565_ENSIPUG00000015786,0.57,0.63,0.61,0.65,0.72,0.64,0.64,0.72,0.64,0.64,0.64,0.72,0.21,0.62,0.65,0.64,0.61,0.61,0.63,0.63,0.67,0.64,0.71,0.64,0.68,0.64,0.63,0.67,0.72,0.57,0.71,0.6,0.61,0.71,0.13,0.42,0.39,0.57,0.51,0.6,0.54,0.75,0.63,0.59,0.63,0.45,0.44,0.39,0.45,0.44,0.16,0.38,0.64,0.71,1.0,0.69,0.62
ENSIPUT00000024581_ENSIPUG00000015786,0.59,0.55,0.63,0.68,0.61,0.61,0.54,0.61,0.53,0.53,0.53,0.61,0.22,0.53,0.68,0.61,0.51,0.58,0.53,0.55,0.57,0.54,0.6,0.61,0.65,0.53,0.54,0.57,0.61,0.59,0.6,0.62,0.63,0.6,0.14,0.37,0.39,0.59,0.59,0.57,0.63,0.64,0.53,0.5,0.54,0.46,0.44,0.39,0.39,0.38,0.17,0.39,0.75,0.69,0.69,1.0,0.59
ENSIPUT00000024611_ENSIPUG00000015786,0.54,0.59,0.57,0.61,0.67,0.78,0.6,0.67,0.56,0.56,0.56,0.67,0.21,0.56,0.61,0.79,0.57,0.64,0.56,0.59,0.63,0.6,0.63,0.79,0.72,0.56,0.59,0.69,0.67,0.51,0.63,0.53,0.57,0.63,0.14,0.36,0.39,0.54,0.63,0.73,0.57,0.6,0.56,0.53,0.59,0.48,0.53,0.39,0.39,0.38,0.17,0.39,0.65,0.71,0.62,0.59,1.0
