,ENSPTRT00000106924_ENSPTRG00000052739,ENSPTRT00000099106_ENSPTRG00000052739,ENSPTRT00000097098_ENSPTRG00000052739,ENSPTRT00000108660_ENSPTRG00000052739,ENSPPAT00000030664_ENSPPAG00000027250,ENSPPAT00000030668_ENSPPAG00000027250,ENSPPAT00000030671_ENSPPAG00000027250,ENST00000378097_ENSG00000069424,ENST00000666163_ENSG00000069424,ENST00000671676_ENSG00000069424,ENST00000658883_ENSG00000069424,ENST00000445501_ENSG00000069424,ENST00000668706_ENSG00000069424,ENST00000653262_ENSG00000069424,ENST00000389632_ENSG00000069424,ENST00000341524_ENSG00000069424,ENST00000462676_ENSG00000069424,ENST00000428161_ENSG00000069424,ENST00000352527_ENSG00000069424,ENST00000663169_ENSG00000069424,ENST00000656198_ENSG00000069424,ENST00000602612_ENSG00000069424,ENST00000666299_ENSG00000069424,ENST00000652845_ENSG00000069424,ENST00000655703_ENSG00000069424,ENST00000669250_ENSG00000069424,ENST00000164247_ENSG00000069424,ENST00000668559_ENSG00000069424,ENST00000378092_ENSG00000069424,ENST00000472700_ENSG00000069424,ENST00000378083_ENSG00000069424,ENST00000662147_ENSG00000069424,ENST00000458166_ENSG00000069424,ENST00000662363_ENSG00000069424,ENST00000655548_ENSG00000069424,ENST00000378111_ENSG00000069424,ENSNLET00000013176_ENSNLEG00000010301,ENSNLET00000035379_ENSNLEG00000010301,ENSNLET00000045043_ENSNLEG00000010301,ENSPANT00000026409_ENSPANG00000008514,ENSPANT00000057435_ENSPANG00000008514,ENSPANT00000056465_ENSPANG00000008514,ENSMLET00000040176_ENSMLEG00000032567,ENSMLET00000040180_ENSMLEG00000032567,ENSMLET00000040191_ENSMLEG00000032567,ENSMLET00000040199_ENSMLEG00000032567,ENSTGET00000021993_ENSTGEG00000014878,ENSTGET00000021998_ENSTGEG00000014878,ENSTGET00000022007_ENSTGEG00000014878,ENSMFAT00000034808_ENSMFAG00000035522,ENSMFAT00000034814_ENSMFAG00000035522,ENSMFAT00000034828_ENSMFAG00000035522,ENSMFAT00000034830_ENSMFAG00000035522,ENSMMUT00000060761_ENSMMUG00000016837,ENSMMUT00000064634_ENSMMUG00000016837,ENSMMUT00000061811_ENSMMUG00000016837,ENSMMUT00000023658_ENSMMUG00000016837,ENSMMUT00000047626_ENSMMUG00000016837,ENSMMUT00000047625_ENSMMUG00000016837,ENSMNET00000005937_ENSMNEG00000005434,ENSMNET00000005940_ENSMNEG00000005434,ENSMNET00000005945_ENSMNEG00000005434,ENSMNET00000005948_ENSMNEG00000005434,ENSMNET00000005953_ENSMNEG00000005434,ENSCATT00000052279_ENSCATG00000037349,ENSCATT00000052280_ENSCATG00000037349,ENSCATT00000052281_ENSCATG00000037349,ENSCATT00000052285_ENSCATG00000037349,ENSRBIT00000041179_ENSRBIG00000032665,ENSRBIT00000041183_ENSRBIG00000032665,ENSRBIT00000041184_ENSRBIG00000032665,ENSRBIT00000041193_ENSRBIG00000032665,ENSRBIT00000041194_ENSRBIG00000032665,ENSRROT00000067454_ENSRROG00000044539,ENSRROT00000067457_ENSRROG00000044539,ENSRROT00000067473_ENSRROG00000044539,ENSRROT00000067484_ENSRROG00000044539,ENSRROT00000067488_ENSRROG00000044539,ENSRROT00000067491_ENSRROG00000044539
ENST00000662147_ENSG00000069424,0.22,0.23,0.17,0.21,0.22,0.23,0.21,0.22,0.23,0.22,0.23,0.33,0.32,0.24,0.35,0.2,0.28,0.22,0.23,0.29,0.27,0.22,0.32,0.24,0.18,0.23,0.22,0.22,0.22,0.26,0.21,1.0,0.26,0.22,0.32,0.32,0.2,0.19,0.18,0.23,0.19,0.21,0.23,0.22,0.18,0.21,0.22,0.23,0.21,0.27,0.21,0.22,0.23,0.2,0.22,0.22,0.23,0.17,0.21,0.22,0.23,0.22,0.21,0.21,0.22,0.23,0.21,0.26,0.22,0.23,0.21,0.26,0.21,0.22,0.23,0.22,0.19,0.21,0.21
ENST00000458166_ENSG00000069424,0.69,0.73,0.58,0.66,0.69,0.73,0.66,0.69,0.73,0.69,0.15,0.27,0.29,0.67,0.57,0.63,0.17,0.69,0.73,0.18,0.17,0.62,0.19,0.15,0.13,0.73,0.69,0.62,0.69,0.17,0.66,0.26,1.0,0.72,0.32,0.33,0.74,0.62,0.66,0.73,0.45,0.66,0.73,0.69,0.46,0.65,0.69,0.73,0.66,0.17,0.66,0.69,0.73,0.63,0.69,0.69,0.73,0.58,0.66,0.69,0.73,0.14,0.65,0.59,0.69,0.73,0.65,0.17,0.69,0.73,0.65,0.17,0.62,0.69,0.73,0.14,0.55,0.65,0.62
ENST00000662363_ENSG00000069424,0.75,0.8,0.54,0.72,0.75,0.8,0.72,0.75,0.8,0.75,0.25,0.35,0.36,0.73,0.46,0.69,0.26,0.75,0.8,0.27,0.26,0.69,0.29,0.22,0.14,0.8,0.75,0.69,0.75,0.24,0.72,0.22,0.72,1.0,0.4,0.41,0.68,0.58,0.61,0.79,0.52,0.72,0.79,0.75,0.52,0.72,0.75,0.79,0.72,0.26,0.72,0.75,0.79,0.69,0.75,0.75,0.79,0.54,0.72,0.75,0.79,0.15,0.72,0.65,0.75,0.79,0.72,0.25,0.75,0.79,0.72,0.25,0.68,0.75,0.79,0.15,0.61,0.72,0.68
ENST00000655548_ENSG00000069424,0.55,0.5,0.27,0.38,0.55,0.5,0.38,0.55,0.5,0.55,0.59,0.77,0.75,0.52,0.43,0.53,0.49,0.55,0.5,0.5,0.58,0.58,0.54,0.44,0.4,0.5,0.55,0.58,0.55,0.54,0.38,0.32,0.32,0.4,1.0,0.91,0.39,0.46,0.29,0.5,0.42,0.38,0.49,0.55,0.4,0.38,0.55,0.5,0.38,0.46,0.38,0.55,0.5,0.53,0.55,0.55,0.5,0.27,0.38,0.55,0.5,0.39,0.38,0.55,0.55,0.5,0.38,0.54,0.55,0.5,0.38,0.54,0.55,0.55,0.5,0.39,0.44,0.38,0.55
ENST00000378111_ENSG00000069424,0.56,0.5,0.28,0.39,0.56,0.5,0.39,0.56,0.5,0.56,0.58,0.77,0.75,0.53,0.43,0.53,0.49,0.56,0.5,0.5,0.58,0.58,0.54,0.44,0.4,0.5,0.56,0.58,0.56,0.54,0.39,0.32,0.33,0.41,0.91,1.0,0.39,0.46,0.29,0.5,0.43,0.39,0.5,0.56,0.4,0.39,0.56,0.5,0.39,0.46,0.39,0.56,0.5,0.53,0.56,0.56,0.5,0.27,0.39,0.56,0.5,0.39,0.39,0.55,0.56,0.5,0.39,0.54,0.56,0.5,0.39,0.54,0.55,0.56,0.5,0.39,0.44,0.39,0.55
ENSNLET00000013176_ENSNLEG00000010301,0.75,0.79,0.74,0.62,0.75,0.79,0.62,0.75,0.79,0.75,0.21,0.32,0.34,0.73,0.46,0.68,0.22,0.75,0.79,0.24,0.22,0.68,0.25,0.22,0.22,0.79,0.75,0.68,0.75,0.22,0.62,0.2,0.74,0.68,0.39,0.39,1.0,0.78,0.74,0.79,0.51,0.62,0.79,0.75,0.51,0.62,0.75,0.79,0.62,0.23,0.62,0.75,0.79,0.68,0.75,0.75,0.79,0.74,0.62,0.75,0.79,0.28,0.62,0.64,0.75,0.79,0.62,0.22,0.75,0.79,0.62,0.22,0.67,0.75,0.79,0.28,0.6,0.62,0.67
ENSNLET00000035379_ENSNLEG00000010301,0.74,0.68,0.63,0.53,0.74,0.68,0.53,0.74,0.68,0.74,0.27,0.39,0.4,0.72,0.45,0.67,0.22,0.74,0.68,0.23,0.28,0.83,0.24,0.21,0.28,0.68,0.74,0.83,0.74,0.27,0.53,0.19,0.62,0.58,0.46,0.46,0.78,1.0,0.6,0.68,0.64,0.53,0.68,0.74,0.56,0.53,0.74,0.68,0.53,0.22,0.53,0.74,0.68,0.67,0.74,0.74,0.68,0.62,0.53,0.74,0.68,0.34,0.53,0.78,0.74,0.68,0.53,0.28,0.74,0.68,0.53,0.28,0.75,0.74,0.68,0.34,0.59,0.53,0.75
ENSNLET00000045043_ENSNLEG00000010301,0.59,0.62,0.57,0.81,0.59,0.62,0.81,0.59,0.62,0.59,0.13,0.24,0.25,0.56,0.4,0.67,0.14,0.59,0.62,0.16,0.15,0.53,0.17,0.13,0.13,0.62,0.59,0.53,0.59,0.14,0.81,0.18,0.66,0.61,0.29,0.29,0.74,0.6,1.0,0.62,0.37,0.81,0.62,0.59,0.39,0.81,0.59,0.62,0.81,0.15,0.81,0.59,0.62,0.67,0.59,0.59,0.62,0.57,0.81,0.59,0.62,0.2,0.81,0.5,0.59,0.62,0.81,0.14,0.59,0.62,0.81,0.14,0.53,0.59,0.62,0.2,0.46,0.81,0.53
ENSPANT00000026409_ENSPANG00000008514,0.86,0.91,0.64,0.73,0.86,0.91,0.73,0.86,0.91,0.86,0.32,0.44,0.45,0.85,0.47,0.79,0.34,0.86,0.91,0.35,0.33,0.79,0.38,0.3,0.21,0.91,0.86,0.79,0.86,0.32,0.73,0.23,0.73,0.79,0.5,0.5,0.79,0.68,0.62,1.0,0.62,0.73,0.91,0.86,0.62,0.73,0.86,0.91,0.73,0.33,0.73,0.86,0.91,0.79,0.86,0.86,0.91,0.64,0.73,0.86,0.91,0.22,0.73,0.75,0.86,0.91,0.73,0.32,0.86,0.91,0.73,0.32,0.78,0.86,0.91,0.22,0.72,0.73,0.78
ENSPANT00000057435_ENSPANG00000008514,0.67,0.62,0.53,0.47,0.67,0.62,0.47,0.67,0.62,0.67,0.44,0.42,0.4,0.66,0.28,0.61,0.36,0.67,0.62,0.38,0.43,0.75,0.4,0.33,0.3,0.62,0.67,0.75,0.67,0.41,0.47,0.19,0.45,0.52,0.42,0.43,0.51,0.64,0.37,0.62,1.0,0.47,0.62,0.67,0.79,0.47,0.67,0.62,0.47,0.36,0.47,0.67,0.62,0.62,0.67,0.67,0.62,0.51,0.47,0.67,0.62,0.29,0.47,0.72,0.67,0.62,0.47,0.42,0.67,0.62,0.47,0.42,0.69,0.67,0.62,0.29,0.68,0.47,0.69
ENSPANT00000056465_ENSPANG00000008514,0.69,0.73,0.49,0.92,0.69,0.73,0.92,0.69,0.73,0.69,0.23,0.33,0.35,0.66,0.41,0.77,0.25,0.69,0.73,0.26,0.24,0.63,0.27,0.21,0.13,0.73,0.69,0.63,0.69,0.23,0.92,0.21,0.66,0.72,0.38,0.39,0.62,0.53,0.81,0.73,0.47,1.0,0.73,0.69,0.48,0.92,0.69,0.73,0.92,0.25,0.92,0.69,0.73,0.77,0.69,0.69,0.73,0.49,0.92,0.69,0.73,0.14,0.92,0.6,0.69,0.73,0.92,0.24,0.69,0.73,0.92,0.24,0.62,0.69,0.73,0.14,0.56,0.92,0.62
ENSMLET00000040176_ENSMLEG00000032567,0.86,0.91,0.64,0.73,0.86,0.91,0.73,0.86,0.91,0.86,0.32,0.44,0.45,0.85,0.47,0.79,0.34,0.86,0.91,0.35,0.33,0.79,0.38,0.3,0.21,0.91,0.86,0.79,0.86,0.32,0.73,0.23,0.73,0.79,0.49,0.5,0.79,0.68,0.62,0.91,0.62,0.73,1.0,0.86,0.62,0.73,0.86,0.91,0.73,0.33,0.73,0.86,0.91,0.79,0.86,0.86,0.91,0.64,0.73,0.86,0.91,0.22,0.73,0.75,0.86,0.91,0.73,0.32,0.86,0.91,0.73,0.32,0.78,0.86,0.91,0.22,0.72,0.73,0.78
ENSMLET00000040180_ENSMLEG00000032567,0.92,0.86,0.61,0.69,0.92,0.86,0.69,0.92,0.86,0.92,0.38,0.49,0.5,0.8,0.45,0.84,0.32,0.92,0.86,0.33,0.38,0.84,0.36,0.29,0.27,0.86,0.92,0.84,0.92,0.36,0.69,0.22,0.69,0.75,0.55,0.56,0.75,0.74,0.59,0.86,0.67,0.69,0.86,1.0,0.67,0.69,0.92,0.86,0.69,0.32,0.69,0.92,0.86,0.84,0.92,0.92,0.86,0.61,0.69,0.92,0.86,0.27,0.69,0.8,0.92,0.86,0.69,0.37,0.92,0.86,0.69,0.37,0.83,0.92,0.86,0.27,0.77,0.69,0.83
ENSMLET00000040191_ENSMLEG00000032567,0.67,0.61,0.54,0.48,0.67,0.61,0.48,0.67,0.61,0.67,0.42,0.4,0.38,0.63,0.27,0.61,0.35,0.67,0.61,0.36,0.42,0.67,0.39,0.31,0.28,0.61,0.67,0.67,0.67,0.39,0.48,0.18,0.46,0.52,0.4,0.4,0.51,0.56,0.39,0.62,0.79,0.48,0.62,0.67,1.0,0.48,0.67,0.62,0.48,0.34,0.48,0.67,0.62,0.62,0.67,0.67,0.62,0.51,0.48,0.67,0.62,0.29,0.48,0.64,0.67,0.62,0.48,0.39,0.67,0.61,0.48,0.39,0.67,0.67,0.61,0.29,0.68,0.48,0.67
ENSMLET00000040199_ENSMLEG00000032567,0.69,0.73,0.49,0.92,0.69,0.73,0.92,0.69,0.73,0.69,0.23,0.33,0.35,0.66,0.41,0.77,0.25,0.69,0.73,0.26,0.24,0.63,0.27,0.21,0.13,0.73,0.69,0.63,0.69,0.23,0.92,0.21,0.65,0.72,0.38,0.39,0.62,0.53,0.81,0.73,0.47,0.92,0.73,0.69,0.48,1.0,0.69,0.73,0.92,0.25,0.92,0.69,0.73,0.77,0.69,0.69,0.73,0.49,0.92,0.69,0.73,0.14,0.92,0.6,0.69,0.73,0.92,0.24,0.69,0.73,0.92,0.24,0.62,0.69,0.73,0.14,0.56,0.92,0.62
ENSTGET00000021993_ENSTGEG00000014878,0.92,0.86,0.61,0.69,0.92,0.86,0.69,0.92,0.86,0.92,0.38,0.49,0.5,0.8,0.45,0.84,0.32,0.92,0.86,0.33,0.38,0.84,0.36,0.29,0.27,0.86,0.92,0.84,0.92,0.36,0.69,0.22,0.69,0.75,0.55,0.56,0.75,0.74,0.59,0.86,0.67,0.69,0.86,0.92,0.67,0.69,1.0,0.86,0.69,0.32,0.69,0.92,0.86,0.84,0.92,0.92,0.86,0.61,0.69,0.92,0.86,0.27,0.69,0.8,0.92,0.86,0.69,0.37,0.92,0.86,0.69,0.37,0.83,0.92,0.86,0.27,0.77,0.69,0.83
ENSTGET00000021998_ENSTGEG00000014878,0.86,0.91,0.64,0.73,0.86,0.91,0.73,0.86,0.91,0.86,0.32,0.44,0.45,0.85,0.47,0.79,0.34,0.86,0.91,0.35,0.33,0.79,0.38,0.3,0.21,0.91,0.86,0.79,0.86,0.32,0.73,0.23,0.73,0.79,0.5,0.5,0.79,0.68,0.62,0.91,0.62,0.73,0.91,0.86,0.62,0.73,0.86,1.0,0.73,0.33,0.73,0.86,0.91,0.79,0.86,0.86,0.91,0.64,0.73,0.86,0.91,0.22,0.73,0.75,0.86,0.91,0.73,0.32,0.86,0.91,0.73,0.32,0.78,0.86,0.91,0.22,0.72,0.73,0.78
ENSTGET00000022007_ENSTGEG00000014878,0.69,0.73,0.49,0.92,0.69,0.73,0.92,0.69,0.73,0.69,0.23,0.33,0.35,0.66,0.41,0.77,0.25,0.69,0.73,0.26,0.24,0.63,0.27,0.21,0.13,0.73,0.69,0.63,0.69,0.23,0.92,0.21,0.66,0.72,0.38,0.39,0.62,0.53,0.81,0.73,0.47,0.92,0.73,0.69,0.48,0.92,0.69,0.73,1.0,0.25,0.92,0.69,0.73,0.77,0.69,0.69,0.73,0.49,0.92,0.69,0.73,0.14,0.92,0.6,0.69,0.73,0.92,0.24,0.69,0.73,0.92,0.24,0.62,0.69,0.73,0.14,0.56,0.92,0.62
ENSMFAT00000034808_ENSMFAG00000035522,0.32,0.33,0.21,0.25,0.32,0.33,0.25,0.32,0.33,0.32,0.53,0.5,0.46,0.36,0.22,0.3,0.57,0.32,0.33,0.58,0.53,0.33,0.64,0.52,0.33,0.33,0.32,0.33,0.32,0.49,0.25,0.27,0.17,0.26,0.46,0.46,0.23,0.22,0.15,0.33,0.36,0.25,0.33,0.32,0.34,0.25,0.32,0.33,0.25,1.0,0.25,0.32,0.33,0.3,0.32,0.32,0.33,0.21,0.25,0.32,0.33,0.59,0.25,0.32,0.32,0.33,0.25,0.8,0.32,0.33,0.25,0.8,0.32,0.32,0.33,0.59,0.3,0.25,0.32
ENSMFAT00000034814_ENSMFAG00000035522,0.69,0.73,0.49,0.92,0.69,0.73,0.92,0.69,0.73,0.69,0.23,0.33,0.35,0.66,0.41,0.77,0.25,0.69,0.73,0.26,0.24,0.63,0.27,0.21,0.13,0.73,0.69,0.63,0.69,0.23,0.92,0.21,0.66,0.72,0.38,0.39,0.62,0.53,0.81,0.73,0.47,0.92,0.73,0.69,0.48,0.92,0.69,0.73,0.92,0.25,1.0,0.69,0.73,0.77,0.69,0.69,0.73,0.49,0.92,0.69,0.73,0.14,0.92,0.6,0.69,0.73,0.92,0.24,0.69,0.73,0.92,0.24,0.62,0.69,0.73,0.14,0.56,0.92,0.62
ENSMFAT00000034828_ENSMFAG00000035522,0.92,0.86,0.61,0.69,0.92,0.86,0.69,0.92,0.86,0.92,0.38,0.49,0.5,0.8,0.45,0.84,0.32,0.92,0.86,0.33,0.38,0.84,0.36,0.29,0.27,0.86,0.92,0.84,0.92,0.36,0.69,0.22,0.69,0.75,0.55,0.56,0.75,0.74,0.59,0.86,0.67,0.69,0.86,0.92,0.67,0.69,0.92,0.86,0.69,0.32,0.69,1.0,0.86,0.84,0.92,0.92,0.86,0.61,0.69,0.92,0.86,0.27,0.69,0.8,0.92,0.86,0.69,0.37,0.92,0.86,0.69,0.37,0.83,0.92,0.86,0.27,0.77,0.69,0.83
ENSMFAT00000034830_ENSMFAG00000035522,0.86,0.91,0.64,0.73,0.86,0.91,0.73,0.86,0.91,0.86,0.32,0.44,0.45,0.85,0.47,0.79,0.34,0.86,0.91,0.35,0.33,0.79,0.38,0.3,0.21,0.91,0.86,0.79,0.86,0.32,0.73,0.23,0.73,0.79,0.5,0.5,0.79,0.68,0.62,0.91,0.62,0.73,0.91,0.86,0.62,0.73,0.86,0.91,0.73,0.33,0.73,0.86,1.0,0.79,0.86,0.86,0.91,0.64,0.73,0.86,0.91,0.22,0.73,0.75,0.86,0.91,0.73,0.32,0.86,0.91,0.73,0.32,0.78,0.86,0.91,0.22,0.72,0.73,0.78
ENSMMUT00000060761_ENSMMUG00000016837,0.84,0.79,0.56,0.77,0.84,0.79,0.77,0.84,0.79,0.84,0.36,0.47,0.47,0.74,0.4,0.93,0.31,0.84,0.79,0.32,0.36,0.78,0.34,0.28,0.26,0.79,0.84,0.78,0.84,0.35,0.77,0.2,0.63,0.69,0.53,0.53,0.68,0.67,0.67,0.79,0.62,0.77,0.79,0.84,0.62,0.77,0.84,0.79,0.77,0.3,0.77,0.84,0.79,1.0,0.84,0.84,0.79,0.56,0.77,0.84,0.79,0.26,0.77,0.75,0.84,0.79,0.77,0.35,0.84,0.79,0.77,0.35,0.77,0.84,0.79,0.26,0.71,0.77,0.77
ENSMMUT00000064634_ENSMMUG00000016837,0.92,0.86,0.61,0.69,0.92,0.86,0.69,0.92,0.86,0.92,0.38,0.49,0.5,0.8,0.45,0.84,0.32,0.92,0.86,0.33,0.38,0.84,0.36,0.29,0.27,0.86,0.92,0.84,0.92,0.36,0.69,0.22,0.69,0.75,0.55,0.56,0.75,0.74,0.59,0.86,0.67,0.69,0.86,0.92,0.67,0.69,0.92,0.86,0.69,0.32,0.69,0.92,0.86,0.84,1.0,0.92,0.86,0.61,0.69,0.92,0.86,0.27,0.69,0.8,0.92,0.86,0.69,0.37,0.92,0.86,0.69,0.37,0.83,0.92,0.86,0.27,0.77,0.69,0.83
ENSMMUT00000061811_ENSMMUG00000016837,0.92,0.86,0.61,0.69,0.92,0.86,0.69,0.92,0.86,0.92,0.38,0.49,0.5,0.8,0.45,0.84,0.32,0.92,0.86,0.33,0.38,0.84,0.36,0.29,0.27,0.86,0.92,0.84,0.92,0.36,0.69,0.22,0.69,0.75,0.55,0.56,0.75,0.74,0.59,0.86,0.67,0.69,0.86,0.92,0.67,0.69,0.92,0.86,0.69,0.32,0.69,0.92,0.86,0.84,0.92,1.0,0.86,0.61,0.69,0.92,0.86,0.27,0.69,0.8,0.92,0.86,0.69,0.37,0.92,0.86,0.69,0.37,0.83,0.92,0.86,0.27,0.77,0.69,0.83
ENSMMUT00000023658_ENSMMUG00000016837,0.86,0.91,0.64,0.73,0.86,0.91,0.73,0.86,0.91,0.86,0.32,0.44,0.45,0.85,0.47,0.79,0.34,0.86,0.91,0.35,0.33,0.79,0.38,0.3,0.21,0.91,0.86,0.79,0.86,0.32,0.73,0.23,0.73,0.79,0.5,0.5,0.79,0.68,0.62,0.91,0.62,0.73,0.91,0.86,0.62,0.73,0.86,0.91,0.73,0.33,0.73,0.86,0.91,0.79,0.86,0.86,1.0,0.64,0.73,0.86,0.91,0.22,0.73,0.75,0.86,0.91,0.73,0.32,0.86,0.91,0.73,0.32,0.78,0.86,0.91,0.22,0.72,0.73,0.78
ENSMMUT00000047626_ENSMMUG00000016837,0.61,0.64,0.81,0.49,0.61,0.64,0.49,0.61,0.64,0.61,0.23,0.24,0.23,0.58,0.3,0.55,0.21,0.61,0.64,0.22,0.21,0.54,0.23,0.23,0.23,0.64,0.61,0.54,0.61,0.19,0.49,0.17,0.58,0.54,0.27,0.27,0.74,0.62,0.57,0.64,0.51,0.49,0.64,0.61,0.51,0.49,0.61,0.64,0.49,0.21,0.49,0.61,0.64,0.56,0.61,0.61,0.64,1.0,0.49,0.61,0.64,0.26,0.49,0.52,0.61,0.64,0.49,0.2,0.61,0.64,0.49,0.2,0.54,0.61,0.64,0.26,0.69,0.49,0.54
ENSMMUT00000047625_ENSMMUG00000016837,0.69,0.73,0.49,0.92,0.69,0.73,0.92,0.69,0.73,0.69,0.23,0.33,0.35,0.66,0.41,0.77,0.25,0.69,0.73,0.26,0.24,0.63,0.27,0.21,0.13,0.73,0.69,0.63,0.69,0.23,0.92,0.21,0.66,0.72,0.38,0.39,0.62,0.53,0.81,0.73,0.47,0.92,0.73,0.69,0.48,0.92,0.69,0.73,0.92,0.25,0.92,0.69,0.73,0.77,0.69,0.69,0.73,0.49,1.0,0.69,0.73,0.14,0.92,0.6,0.69,0.73,0.92,0.24,0.69,0.73,0.92,0.24,0.62,0.69,0.73,0.14,0.56,0.92,0.62
ENSMNET00000005937_ENSMNEG00000005434,0.92,0.86,0.61,0.69,0.92,0.86,0.69,0.92,0.86,0.92,0.38,0.49,0.5,0.8,0.45,0.84,0.32,0.92,0.86,0.33,0.38,0.84,0.36,0.29,0.27,0.86,0.92,0.84,0.92,0.36,0.69,0.22,0.69,0.75,0.55,0.56,0.75,0.74,0.59,0.86,0.67,0.69,0.86,0.92,0.67,0.69,0.92,0.86,0.69,0.32,0.69,0.92,0.86,0.84,0.92,0.92,0.86,0.61,0.69,1.0,0.86,0.27,0.69,0.8,0.92,0.86,0.69,0.37,0.92,0.86,0.69,0.37,0.83,0.92,0.86,0.27,0.77,0.69,0.83
ENSMNET00000005940_ENSMNEG00000005434,0.86,0.91,0.64,0.73,0.86,0.91,0.73,0.86,0.91,0.86,0.32,0.44,0.45,0.85,0.47,0.79,0.34,0.86,0.91,0.35,0.33,0.79,0.38,0.3,0.21,0.91,0.86,0.79,0.86,0.32,0.73,0.23,0.73,0.79,0.5,0.5,0.79,0.68,0.62,0.91,0.62,0.73,0.91,0.86,0.62,0.73,0.86,0.91,0.73,0.33,0.73,0.86,0.91,0.79,0.86,0.86,0.91,0.64,0.73,0.86,1.0,0.22,0.73,0.75,0.86,0.91,0.73,0.32,0.86,0.91,0.73,0.32,0.78,0.86,0.91,0.22,0.72,0.73,0.78
ENSMNET00000005945_ENSMNEG00000005434,0.27,0.22,0.26,0.14,0.27,0.22,0.14,0.27,0.22,0.27,0.43,0.42,0.39,0.23,0.18,0.26,0.33,0.27,0.22,0.35,0.44,0.28,0.38,0.32,0.46,0.22,0.27,0.28,0.27,0.41,0.14,0.22,0.14,0.15,0.39,0.39,0.28,0.34,0.2,0.22,0.29,0.14,0.22,0.27,0.29,0.14,0.27,0.22,0.14,0.59,0.14,0.27,0.22,0.26,0.27,0.27,0.22,0.26,0.14,0.27,0.22,1.0,0.14,0.27,0.27,0.22,0.14,0.69,0.27,0.22,0.14,0.69,0.27,0.27,0.22,0.89,0.25,0.14,0.27
ENSMNET00000005948_ENSMNEG00000005434,0.69,0.73,0.49,0.92,0.69,0.73,0.92,0.69,0.73,0.69,0.23,0.33,0.35,0.66,0.41,0.77,0.25,0.69,0.73,0.26,0.24,0.63,0.27,0.21,0.13,0.73,0.69,0.63,0.69,0.23,0.92,0.21,0.65,0.72,0.38,0.39,0.62,0.53,0.81,0.73,0.47,0.92,0.73,0.69,0.48,0.92,0.69,0.73,0.92,0.25,0.92,0.69,0.73,0.77,0.69,0.69,0.73,0.49,0.92,0.69,0.73,0.14,1.0,0.6,0.69,0.73,0.92,0.24,0.69,0.73,0.92,0.24,0.62,0.69,0.73,0.14,0.56,0.92,0.62
ENSMNET00000005953_ENSMNEG00000005434,0.8,0.75,0.52,0.6,0.8,0.75,0.6,0.8,0.75,0.8,0.37,0.48,0.49,0.8,0.44,0.74,0.31,0.8,0.75,0.33,0.38,0.89,0.35,0.28,0.26,0.75,0.8,0.89,0.8,0.36,0.6,0.21,0.59,0.65,0.55,0.55,0.64,0.78,0.5,0.75,0.72,0.6,0.75,0.8,0.64,0.6,0.8,0.75,0.6,0.32,0.6,0.8,0.75,0.75,0.8,0.8,0.75,0.52,0.6,0.8,0.75,0.27,0.6,1.0,0.8,0.75,0.6,0.36,0.8,0.75,0.6,0.36,0.82,0.8,0.75,0.27,0.67,0.6,0.82
ENSCATT00000052279_ENSCATG00000037349,0.92,0.86,0.61,0.69,0.92,0.86,0.69,0.92,0.86,0.92,0.38,0.49,0.5,0.8,0.45,0.84,0.32,0.92,0.86,0.33,0.38,0.84,0.36,0.29,0.27,0.86,0.92,0.84,0.92,0.36,0.69,0.22,0.69,0.75,0.55,0.56,0.75,0.74,0.59,0.86,0.67,0.69,0.86,0.92,0.67,0.69,0.92,0.86,0.69,0.32,0.69,0.92,0.86,0.84,0.92,0.92,0.86,0.61,0.69,0.92,0.86,0.27,0.69,0.8,1.0,0.86,0.69,0.37,0.92,0.86,0.69,0.37,0.83,0.92,0.86,0.27,0.77,0.69,0.83
ENSCATT00000052280_ENSCATG00000037349,0.86,0.91,0.64,0.73,0.86,0.91,0.73,0.86,0.91,0.86,0.32,0.44,0.45,0.85,0.47,0.79,0.34,0.86,0.91,0.35,0.33,0.79,0.38,0.3,0.21,0.91,0.86,0.79,0.86,0.32,0.73,0.23,0.73,0.79,0.5,0.5,0.79,0.68,0.62,0.91,0.62,0.73,0.91,0.86,0.62,0.73,0.86,0.91,0.73,0.33,0.73,0.86,0.91,0.79,0.86,0.86,0.91,0.64,0.73,0.86,0.91,0.22,0.73,0.75,0.86,1.0,0.73,0.32,0.86,0.91,0.73,0.32,0.78,0.86,0.91,0.22,0.72,0.73,0.78
ENSCATT00000052281_ENSCATG00000037349,0.69,0.73,0.49,0.92,0.69,0.73,0.92,0.69,0.73,0.69,0.23,0.33,0.35,0.66,0.41,0.77,0.24,0.69,0.73,0.26,0.24,0.63,0.27,0.21,0.13,0.73,0.69,0.63,0.69,0.23,0.92,0.21,0.65,0.72,0.38,0.39,0.62,0.53,0.81,0.73,0.47,0.92,0.73,0.69,0.48,0.92,0.69,0.73,0.92,0.25,0.92,0.69,0.73,0.77,0.69,0.69,0.73,0.49,0.92,0.69,0.73,0.14,0.92,0.6,0.69,0.73,1.0,0.24,0.69,0.73,0.92,0.24,0.62,0.69,0.73,0.14,0.56,0.92,0.62
