,ENSSFOT00015034970_ENSSFOG00015022045,ENSSFOT00015034984_ENSSFOG00015022045,ENSSFOT00015035002_ENSSFOG00015022045,ENSSFOT00015035017_ENSSFOG00015022045,ENSPKIT00000003981_ENSPKIG00000006972,ENSPKIT00000004012_ENSPKIG00000006972,ENSPKIT00000004044_ENSPKIG00000006972,ENSPKIT00000032867_ENSPKIG00000024133,ENSPKIT00000032885_ENSPKIG00000024133,ENSPKIT00000032895_ENSPKIG00000024133,ENSPKIT00000032904_ENSPKIG00000024133,ENSPKIT00000032915_ENSPKIG00000024133,ENSSFOT00015002307_ENSSFOG00015001533,ENSCHAT00000049246_ENSCHAG00000020156,ENSCHAT00000049262_ENSCHAG00000020156,ENSCHAT00000049303_ENSCHAG00000020156,ENSCHAT00000049332_ENSCHAG00000020156,ENSCHAT00000049372_ENSCHAG00000020156,ENSCHAT00000049399_ENSCHAG00000020156,ENSCHAT00000049432_ENSCHAG00000020156,ENSCHAT00000049457_ENSCHAG00000020156,ENSCHAT00000049485_ENSCHAG00000020156,ENSDCDT00000014588_ENSDCDG00000004583,ENSDCDT00000014602_ENSDCDG00000004583,ENSDCDT00000014606_ENSDCDG00000004583,ENSDCDT00000014613_ENSDCDG00000004583,ENSDCDT00000014803_ENSDCDG00000004583,ENSDCDT00000014868_ENSDCDG00000004583,ENSDCDT00000014987_ENSDCDG00000004583,ENSDART00000161289_ENSDARG00000102730,ENSDART00000159899_ENSDARG00000102730,ENSDART00000162834_ENSDARG00000102730,ENSDART00000160711_ENSDARG00000102730,ENSDART00000161753_ENSDARG00000102730,ENSELUT00000032269_ENSELUG00000020634,ENSELUT00000032274_ENSELUG00000020634,ENSHHUT00000041931_ENSHHUG00000024945,ENSHHUT00000083238_ENSHHUG00000045800,ENSHHUT00000083269_ENSHHUG00000045800,ENSHHUT00000083285_ENSHHUG00000045800,ENSHHUT00000083288_ENSHHUG00000045800,ENSHHUT00000083468_ENSHHUG00000045800,ENSHHUT00000083476_ENSHHUG00000045800,ENSHHUT00000083481_ENSHHUG00000045800,ENSHHUT00000083501_ENSHHUG00000045800,ENSAMXT00000048268_ENSAMXG00000030412,ENSAMXT00000033115_ENSAMXG00000030412,ENSPNAT00000021936_ENSPNAG00000020204,ENSPNAT00000022015_ENSPNAG00000020204,ENSPNAT00000037238_ENSPNAG00000020204,ENSPNAT00000037256_ENSPNAG00000020204,ENSEEET00000035044_ENSEEEG00000016475,ENSIPUT00000024496_ENSIPUG00000015786,ENSIPUT00000024528_ENSIPUG00000015786,ENSIPUT00000024565_ENSIPUG00000015786,ENSIPUT00000024581_ENSIPUG00000015786,ENSIPUT00000024611_ENSIPUG00000015786
ENSHHUT00000083501_ENSHHUG00000045800,0.77,0.79,0.76,0.77,0.77,0.76,0.76,0.75,0.74,0.74,0.74,0.75,0.45,0.79,0.79,0.79,0.79,0.78,0.78,0.79,0.79,0.79,0.79,0.77,0.78,0.77,0.78,0.78,0.79,0.76,0.78,0.76,0.77,0.78,0.75,0.79,0.8,0.91,0.9,0.92,0.91,0.91,0.91,0.91,1.0,0.74,0.69,0.74,0.75,0.75,0.68,0.72,0.74,0.75,0.76,0.74,0.76
ENSAMXT00000048268_ENSAMXG00000030412,0.73,0.74,0.74,0.74,0.72,0.72,0.71,0.71,0.7,0.7,0.7,0.71,0.41,0.74,0.76,0.76,0.75,0.75,0.73,0.75,0.75,0.75,0.74,0.75,0.76,0.72,0.74,0.74,0.75,0.72,0.73,0.72,0.74,0.73,0.69,0.7,0.72,0.74,0.74,0.75,0.74,0.74,0.73,0.73,0.74,1.0,0.87,0.77,0.78,0.78,0.76,0.73,0.77,0.77,0.77,0.77,0.78
ENSAMXT00000033115_ENSAMXG00000030412,0.67,0.68,0.68,0.68,0.65,0.68,0.64,0.66,0.67,0.67,0.67,0.66,0.37,0.69,0.69,0.72,0.69,0.69,0.7,0.69,0.69,0.69,0.69,0.71,0.69,0.68,0.68,0.68,0.68,0.67,0.68,0.67,0.67,0.68,0.69,0.63,0.65,0.68,0.7,0.72,0.69,0.69,0.7,0.69,0.69,0.87,1.0,0.69,0.72,0.71,0.49,0.66,0.74,0.74,0.72,0.72,0.74
ENSPNAT00000021936_ENSPNAG00000020204,0.71,0.72,0.72,0.72,0.72,0.72,0.7,0.71,0.72,0.72,0.72,0.71,0.48,0.74,0.74,0.75,0.74,0.73,0.75,0.74,0.74,0.75,0.72,0.72,0.73,0.72,0.72,0.72,0.72,0.74,0.75,0.75,0.75,0.75,0.7,0.76,0.77,0.73,0.73,0.74,0.74,0.74,0.74,0.74,0.74,0.77,0.69,1.0,0.89,0.88,0.82,0.82,0.77,0.78,0.78,0.78,0.78
ENSPNAT00000022015_ENSPNAG00000020204,0.76,0.76,0.74,0.74,0.72,0.71,0.7,0.73,0.74,0.74,0.74,0.73,0.46,0.78,0.77,0.76,0.78,0.74,0.77,0.77,0.76,0.78,0.75,0.74,0.74,0.75,0.76,0.74,0.75,0.77,0.76,0.77,0.77,0.76,0.71,0.76,0.76,0.76,0.74,0.75,0.74,0.75,0.76,0.77,0.75,0.78,0.72,0.89,1.0,0.93,0.84,0.83,0.77,0.77,0.78,0.77,0.77
ENSPNAT00000037238_ENSPNAG00000020204,0.75,0.76,0.73,0.74,0.72,0.7,0.7,0.72,0.73,0.73,0.73,0.72,0.46,0.78,0.76,0.75,0.78,0.74,0.77,0.77,0.76,0.77,0.75,0.73,0.74,0.75,0.75,0.74,0.74,0.76,0.75,0.77,0.77,0.75,0.71,0.73,0.75,0.75,0.73,0.74,0.74,0.75,0.74,0.76,0.75,0.78,0.71,0.88,0.93,1.0,0.84,0.82,0.76,0.77,0.78,0.77,0.77
ENSPNAT00000037256_ENSPNAG00000020204,0.69,0.69,0.67,0.66,0.69,0.69,0.69,0.66,0.66,0.66,0.66,0.66,0.58,0.72,0.71,0.71,0.72,0.71,0.71,0.71,0.7,0.7,0.69,0.69,0.69,0.69,0.69,0.68,0.67,0.75,0.74,0.75,0.75,0.74,0.74,0.7,0.7,0.68,0.68,0.69,0.68,0.69,0.69,0.69,0.68,0.76,0.49,0.82,0.84,0.84,1.0,0.77,0.74,0.74,0.74,0.74,0.74
ENSEEET00000035044_ENSEEEG00000016475,0.71,0.72,0.7,0.7,0.69,0.69,0.66,0.7,0.7,0.7,0.7,0.7,0.48,0.73,0.72,0.72,0.73,0.72,0.72,0.72,0.71,0.72,0.72,0.72,0.73,0.72,0.72,0.71,0.72,0.73,0.73,0.74,0.74,0.73,0.7,0.74,0.78,0.72,0.72,0.73,0.73,0.73,0.73,0.73,0.72,0.73,0.66,0.82,0.83,0.82,0.77,1.0,0.76,0.77,0.77,0.77,0.77
ENSIPUT00000024496_ENSIPUG00000015786,0.75,0.74,0.76,0.77,0.74,0.76,0.72,0.72,0.72,0.72,0.72,0.72,0.47,0.75,0.77,0.79,0.75,0.75,0.75,0.75,0.75,0.75,0.76,0.78,0.77,0.74,0.75,0.75,0.76,0.76,0.77,0.77,0.77,0.77,0.67,0.7,0.72,0.75,0.77,0.76,0.75,0.75,0.74,0.74,0.74,0.77,0.74,0.77,0.77,0.76,0.74,0.76,1.0,0.94,0.91,0.94,0.91
ENSIPUT00000024528_ENSIPUG00000015786,0.74,0.75,0.75,0.75,0.76,0.78,0.73,0.73,0.73,0.73,0.73,0.73,0.47,0.76,0.76,0.8,0.76,0.77,0.76,0.76,0.77,0.76,0.78,0.8,0.78,0.76,0.76,0.77,0.77,0.75,0.78,0.76,0.76,0.78,0.68,0.71,0.73,0.74,0.75,0.78,0.74,0.76,0.76,0.75,0.75,0.77,0.74,0.78,0.77,0.77,0.74,0.77,0.94,1.0,0.93,0.92,0.93
ENSIPUT00000024565_ENSIPUG00000015786,0.75,0.77,0.76,0.77,0.77,0.76,0.75,0.75,0.75,0.75,0.75,0.75,0.47,0.78,0.78,0.78,0.78,0.77,0.78,0.78,0.79,0.78,0.8,0.78,0.78,0.77,0.77,0.78,0.79,0.77,0.8,0.78,0.78,0.8,0.68,0.72,0.73,0.75,0.74,0.76,0.74,0.78,0.77,0.76,0.76,0.77,0.72,0.78,0.78,0.78,0.74,0.77,0.91,0.93,1.0,0.92,0.91
ENSIPUT00000024581_ENSIPUG00000015786,0.76,0.75,0.77,0.78,0.75,0.75,0.73,0.73,0.72,0.72,0.72,0.73,0.47,0.76,0.78,0.77,0.75,0.76,0.76,0.76,0.76,0.75,0.77,0.77,0.78,0.75,0.75,0.76,0.76,0.77,0.77,0.78,0.78,0.77,0.68,0.71,0.73,0.75,0.75,0.75,0.76,0.75,0.75,0.74,0.74,0.77,0.72,0.78,0.77,0.77,0.74,0.77,0.94,0.92,0.92,1.0,0.9
ENSIPUT00000024611_ENSIPUG00000015786,0.75,0.76,0.75,0.76,0.76,0.79,0.74,0.74,0.73,0.73,0.73,0.74,0.47,0.76,0.77,0.81,0.77,0.78,0.76,0.77,0.77,0.77,0.78,0.81,0.79,0.76,0.77,0.79,0.78,0.75,0.78,0.76,0.77,0.78,0.68,0.71,0.73,0.74,0.76,0.79,0.75,0.76,0.76,0.75,0.76,0.78,0.74,0.78,0.77,0.77,0.74,0.77,0.91,0.93,0.91,0.9,1.0
