,ENSDCDT00000032969_ENSDCDG00000018406,ENSCHAT00000001037_ENSCHAG00000000662,ENSIPUT00000029421_ENSIPUG00000019147,ENSIPUT00000029433_ENSIPUG00000019155,ENSIPUT00000029448_ENSIPUG00000019155,ENSEEET00000035697_ENSEEEG00000016794,ENSEEET00000035699_ENSEEEG00000016794,ENSEEET00000035701_ENSEEEG00000016794,ENSEEET00000039594_ENSEEEG00000018596,ENSPNAT00000017823_ENSPNAG00000016612,ENSPNAT00000021137_ENSPNAG00000019399,ENSPNAT00000021151_ENSPNAG00000019399,ENSPNAT00000021178_ENSPNAG00000019399,ENSPNAT00000021180_ENSPNAG00000019399,ENSPNAT00000021184_ENSPNAG00000019399,ENSAMXT00000037541_ENSAMXG00000029480,ENSAMXT00000040275_ENSAMXG00000038859,ENSAMXT00000034564_ENSAMXG00000041198,ENSDART00000171258_ENSDARG00000100946,ENSDART00000173691_ENSDARG00000100946,ENSDART00000125584_ENSDARG00000086421,ENSDART00000173774_ENSDARG00000086421,ENSELUT00000010918_ENSELUG00000006328,ENSELUT00000010929_ENSELUG00000006328,ENSELUT00000011706_ENSELUG00000005929,ENSELUT00000011717_ENSELUG00000005929,ENSHHUT00000011460_ENSHHUG00000006804,ENSHHUT00000011464_ENSHHUG00000006804,ENSHHUT00000011477_ENSHHUG00000006804,ENSHHUT00000047888_ENSHHUG00000028144,ENSHHUT00000047873_ENSHHUG00000028135,ENSHHUT00000069767_ENSHHUG00000039791,ENSELUT00000003600_ENSELUG00000010141,ENSAOCT00000019271_ENSAOCG00000016109,ENSAPET00000015333_ENSAPEG00000010660,ENSAPET00000015340_ENSAPEG00000010660,ENSAPOT00000005761_ENSAPOG00000008832,ENSSPAT00000005384_ENSSPAG00000004095,ENSPRNT00000029944_ENSPRNG00000014072,ENSPNYT00000006488_ENSPNYG00000004882,ENSHBUT00000016653_ENSHBUG00000011455,ENSMZET00005012480_ENSMZEG00005009059,ENSACLT00000009365_ENSACLG00000006245,ENSNBRT00000023335_ENSNBRG00000017417,ENSONIT00000019793_ENSONIG00000015713,ENSACIT00000021987_ENSACIG00000016648,ENSPFOT00000014182_ENSPFOG00000014148,ENSPMET00000009459_ENSPMEG00000005484,ENSPLAT00000022591_ENSPLAG00000017973,ENSPRET00000006355_ENSPREG00000004362,ENSGAFT00000028805_ENSGAFG00000019275,ENSXMAT00000040015_ENSXMAG00000025602,ENSKMAT00000007690_ENSKMAG00000005701,ENSOMET00000009694_ENSOMEG00000005062,ENSGWIT00000006549_ENSGWIG00000003462,ENSGWIT00000006550_ENSGWIG00000003462,ENSGWIT00000006552_ENSGWIG00000003462,ENSSDUT00000005047_ENSSDUG00000003672
ENSONIT00000019793_ENSONIG00000015713,0.44,0.45,0.36,0.38,0.35,0.42,0.42,0.45,0.42,0.45,0.47,0.37,0.43,0.35,0.41,0.34,0.34,0.34,0.4,0.27,0.4,0.4,0.45,0.48,0.46,0.51,0.47,0.5,0.43,0.42,0.55,0.36,0.35,0.68,0.63,0.68,0.69,0.69,0.68,0.88,0.88,0.88,0.88,0.88,1.0,0.62,0.62,0.62,0.62,0.6,0.61,0.62,0.62,0.47,0.5,0.55,0.51,0.69
ENSACIT00000021987_ENSACIG00000016648,0.34,0.34,0.34,0.28,0.28,0.33,0.33,0.35,0.32,0.37,0.32,0.3,0.3,0.33,0.35,0.28,0.28,0.3,0.29,0.26,0.29,0.26,0.37,0.4,0.43,0.4,0.39,0.42,0.39,0.38,0.43,0.33,0.33,0.6,0.6,0.6,0.59,0.61,0.55,0.61,0.61,0.61,0.61,0.61,0.62,1.0,0.5,0.5,0.49,0.48,0.49,0.49,0.51,0.52,0.5,0.49,0.52,0.59
ENSPFOT00000014182_ENSPFOG00000014148,0.42,0.44,0.39,0.42,0.38,0.41,0.41,0.44,0.42,0.41,0.43,0.33,0.39,0.35,0.38,0.29,0.29,0.3,0.35,0.22,0.36,0.36,0.46,0.48,0.44,0.48,0.46,0.48,0.42,0.4,0.52,0.35,0.33,0.63,0.6,0.63,0.62,0.63,0.63,0.62,0.62,0.61,0.61,0.62,0.62,0.5,1.0,0.94,0.94,0.89,0.87,0.86,0.61,0.45,0.55,0.55,0.48,0.63
ENSPMET00000009459_ENSPMEG00000005484,0.41,0.44,0.4,0.42,0.38,0.42,0.42,0.44,0.42,0.41,0.43,0.33,0.39,0.35,0.38,0.29,0.29,0.3,0.36,0.22,0.36,0.36,0.46,0.48,0.43,0.48,0.46,0.48,0.42,0.4,0.51,0.36,0.34,0.63,0.6,0.63,0.62,0.63,0.63,0.62,0.62,0.61,0.61,0.62,0.62,0.5,0.94,1.0,0.93,0.9,0.88,0.87,0.61,0.45,0.54,0.55,0.49,0.64
ENSPLAT00000022591_ENSPLAG00000017973,0.42,0.44,0.39,0.42,0.38,0.41,0.41,0.44,0.42,0.41,0.43,0.33,0.39,0.35,0.38,0.29,0.29,0.3,0.35,0.22,0.36,0.36,0.46,0.48,0.43,0.48,0.46,0.49,0.42,0.39,0.52,0.36,0.34,0.63,0.6,0.63,0.62,0.63,0.63,0.62,0.62,0.61,0.61,0.62,0.62,0.49,0.94,0.93,1.0,0.89,0.87,0.86,0.61,0.45,0.55,0.55,0.48,0.64
ENSPRET00000006355_ENSPREG00000004362,0.39,0.42,0.4,0.42,0.37,0.42,0.42,0.42,0.41,0.4,0.46,0.33,0.4,0.35,0.38,0.3,0.29,0.29,0.34,0.2,0.35,0.37,0.47,0.45,0.42,0.46,0.47,0.46,0.43,0.41,0.49,0.34,0.34,0.62,0.59,0.61,0.61,0.62,0.62,0.6,0.6,0.6,0.6,0.6,0.6,0.48,0.89,0.9,0.89,1.0,0.87,0.86,0.6,0.45,0.52,0.55,0.48,0.63
ENSGAFT00000028805_ENSGAFG00000019275,0.4,0.45,0.39,0.41,0.38,0.41,0.41,0.44,0.41,0.42,0.44,0.32,0.39,0.31,0.37,0.3,0.3,0.31,0.36,0.23,0.37,0.37,0.45,0.47,0.44,0.48,0.45,0.48,0.41,0.39,0.51,0.35,0.33,0.62,0.58,0.62,0.61,0.63,0.62,0.61,0.62,0.61,0.61,0.62,0.61,0.49,0.87,0.88,0.87,0.87,1.0,0.87,0.61,0.46,0.53,0.53,0.47,0.63
ENSXMAT00000040015_ENSXMAG00000025602,0.42,0.45,0.39,0.41,0.37,0.42,0.42,0.45,0.42,0.41,0.44,0.33,0.39,0.34,0.38,0.3,0.3,0.32,0.36,0.23,0.36,0.36,0.45,0.47,0.42,0.47,0.44,0.47,0.4,0.38,0.51,0.35,0.33,0.62,0.59,0.62,0.61,0.63,0.62,0.61,0.62,0.61,0.61,0.62,0.62,0.49,0.86,0.87,0.86,0.86,0.87,1.0,0.61,0.44,0.53,0.5,0.46,0.64
ENSKMAT00000007690_ENSKMAG00000005701,0.4,0.42,0.34,0.4,0.36,0.44,0.44,0.47,0.46,0.43,0.46,0.37,0.43,0.38,0.41,0.32,0.32,0.31,0.36,0.28,0.37,0.36,0.45,0.47,0.46,0.51,0.49,0.52,0.46,0.4,0.53,0.37,0.37,0.64,0.63,0.64,0.64,0.65,0.65,0.62,0.62,0.62,0.62,0.62,0.62,0.51,0.61,0.61,0.61,0.6,0.61,0.61,1.0,0.48,0.57,0.55,0.5,0.64
ENSOMET00000009694_ENSOMEG00000005062,0.33,0.33,0.36,0.34,0.34,0.32,0.32,0.34,0.36,0.36,0.33,0.33,0.33,0.25,0.31,0.29,0.29,0.29,0.27,0.27,0.26,0.25,0.4,0.44,0.38,0.37,0.36,0.43,0.36,0.38,0.42,0.26,0.25,0.5,0.47,0.5,0.5,0.51,0.5,0.47,0.46,0.47,0.47,0.46,0.47,0.52,0.45,0.45,0.45,0.45,0.46,0.44,0.48,1.0,1e-18,0.5,0.54,0.51
ENSGWIT00000006549_ENSGWIG00000003462,0.34,0.29,0.3,1e-18,1e-18,0.33,0.33,0.33,0.31,0.32,0.32,0.3,0.3,0.3,0.3,0.29,0.3,0.29,0.25,0.24,0.27,0.26,0.43,0.43,0.38,0.38,0.47,0.47,0.47,1e-18,0.43,0.35,0.32,0.52,0.52,0.52,0.48,0.55,0.56,0.52,0.52,0.51,0.51,0.51,0.5,0.5,0.55,0.54,0.55,0.52,0.53,0.53,0.57,1e-18,1.0,0.82,1e-18,0.56
ENSGWIT00000006550_ENSGWIG00000003462,0.35,0.31,0.36,0.38,0.34,0.44,0.44,0.44,0.45,0.39,0.43,0.37,0.37,0.27,0.37,0.36,0.36,0.34,0.32,0.2,0.32,0.32,0.63,0.63,0.37,0.41,0.63,0.63,1e-18,0.43,0.49,0.3,0.3,0.48,1e-18,0.47,0.48,0.53,0.55,0.52,0.5,0.52,0.52,0.52,0.55,0.49,0.55,0.55,0.55,0.55,0.53,0.5,0.55,0.5,0.82,1.0,0.8,0.59
ENSGWIT00000006552_ENSGWIG00000003462,0.45,0.37,1e-18,0.36,0.36,0.34,0.34,0.34,0.37,0.41,0.39,0.49,0.49,0.23,0.39,0.45,0.45,0.37,0.39,1e-18,0.36,0.36,0.4,0.4,0.4,0.39,0.34,0.34,0.34,0.38,0.4,0.33,0.4,0.52,0.51,0.51,0.49,0.5,0.53,0.52,0.5,0.51,0.51,0.5,0.51,0.52,0.48,0.49,0.48,0.48,0.47,0.46,0.5,0.54,1e-18,0.8,1.0,0.57
ENSSDUT00000005047_ENSSDUG00000003672,0.5,0.46,0.4,0.41,0.37,0.44,0.44,0.48,0.45,0.44,0.47,0.37,0.43,0.37,0.42,0.33,0.33,0.34,0.39,0.25,0.39,0.39,0.52,0.54,0.5,0.55,0.54,0.57,0.5,0.48,0.59,0.42,0.4,0.73,0.7,0.73,0.72,0.71,0.69,0.68,0.68,0.68,0.68,0.68,0.69,0.59,0.63,0.64,0.64,0.63,0.63,0.64,0.64,0.51,0.56,0.59,0.57,1.0
