cricetulus_griseus_crigri-picr ENSCGRG00015012957
poecilia_mexicana ENSPMEG00000017354
poecilia_formosa ENSPFOG00000019065
poecilia_latipinna ENSPLAG00000016783
xiphophorus_maculatus ENSXMAG00000016892
gambusia_affinis ENSGAFG00000021563
fundulus_heteroclitus ENSFHEG00000004384
cyprinodon_variegatus ENSCVAG00000008818
amphiprion_ocellaris ENSAOCG00000002540
amphiprion_percula ENSAPEG00000018840
acanthochromis_polyacanthus ENSAPOG00000011128
mastacembelus_armatus ENSMAMG00000023852
monopterus_albus ENSMALG00000019045
seriola_dumerili ENSSDUG00000013342
seriola_lalandi_dorsalis ENSSLDG00000023470
scophthalmus_maximus ENSSMAG00000000097
anabas_testudineus ENSATEG00000007972
labrus_bergylta ENSLBEG00000020623
gasterosteus_aculeatus ENSGACG00000001206
hippocampus_comes ENSHCOG00000006423
periophthalmus_magnuspinnatus ENSPMGG00000002808
gadus_morhua ENSGMOG00000008188
pygocentrus_nattereri ENSPNAG00000021968
astyanax_mexicanus ENSAMXG00000036616
ictalurus_punctatus ENSIPUG00000018464
paramormyrops_kingsleyae ENSPKIG00000024066
scleropages_formosus ENSSFOG00015006154
pygocentrus_nattereri ENSPNAG00000019146
astyanax_mexicanus ENSAMXG00000029831
ictalurus_punctatus ENSIPUG00000006392
danio_rerio ENSDARG00000094673
esox_lucius ENSELUG00000011288
esox_lucius ENSELUG00000007996
scleropages_formosus ENSSFOG00015015623
paramormyrops_kingsleyae ENSPKIG00000013242
amphiprion_ocellaris ENSAOCG00000022418
amphiprion_percula ENSAPEG00000015619
acanthochromis_polyacanthus ENSAPOG00000024192
stegastes_partitus ENSSPAG00000006432
poecilia_mexicana ENSPMEG00000009932
poecilia_mexicana ENSPMEG00000002367
poecilia_formosa ENSPFOG00000000160
poecilia_latipinna ENSPLAG00000013934
poecilia_reticulata ENSPREG00000013347
xiphophorus_maculatus ENSXMAG00000022328
xiphophorus_couchianus ENSXCOG00000006978
gambusia_affinis ENSGAFG00000002499
cyprinodon_variegatus ENSCVAG00000005400
fundulus_heteroclitus ENSFHEG00000017875
kryptolebias_marmoratus ENSKMAG00000002838
oryzias_latipes_asm223471v1 ENSORLG00020019141
oryzias_latipes_asm223469v1 ENSORLG00015013239
oryzias_latipes_asm223467v1 ENSORLG00000008072
oryzias_melastigma ENSOMEG00000008029
gasterosteus_aculeatus ENSGACG00000005670
seriola_dumerili ENSSDUG00000016672
seriola_lalandi_dorsalis ENSSLDG00000023211
scophthalmus_maximus ENSSMAG00000010134
takifugu_rubripes ENSTRUG00000020548
tetraodon_nigroviridis ENSTNIG00000006051
mola_mola ENSMMOG00000016505
labrus_bergylta ENSLBEG00000008480
maylandia_zebra ENSMZEG00005021303
astatotilapia_calliptera ENSACLG00000018393
pundamilia_nyererei ENSPNYG00000011381
haplochromis_burtoni ENSHBUG00000018961
neolamprologus_brichardi ENSNBRG00000022888
oreochromis_niloticus ENSONIG00000001670
amphilophus_citrinellus ENSACIG00000016001
cynoglossus_semilaevis ENSCSEG00000006101
mastacembelus_armatus ENSMAMG00000015515
monopterus_albus ENSMALG00000015023
anabas_testudineus ENSATEG00000006686
hippocampus_comes ENSHCOG00000006796
periophthalmus_magnuspinnatus ENSPMGG00000000695
gadus_morhua ENSGMOG00000002393
lepisosteus_oculatus ENSLOCG00000014438
ciona_savignyi ENSCSAVG00000006924
ciona_intestinalis ENSCING00000003145
drosophila_melanogaster FBgn0014020
