ZK1248.14.1	WBGene00001509	Caenorhabditis_elegans_strain_N2
ENSP00000420617	ENSG00000171109	Homo_sapiens
ENSPPAP00000042476	ENSPPAG00000043805	Pan_paniscus
ENSPTRP00000026922	ENSPTRG00000015645	Pan_troglodytes
ENSPPYP00000016014	ENSPPYG00000014318	Pongo_abelii
ENSNLEP00000006959	ENSNLEG00000005745	Nomascus_leucogenys
ENSPTEP00000031305	ENSPTEG00000030282	Piliocolobus_tephrosceles
ENSCANP00000022024	ENSCANG00000034448	Colobus_angolensis_palliatus
ENSRROP00000003762	ENSRROG00000015013	Rhinopithecus_roxellana
ENSCATP00000019335	ENSCATG00000033458	Cercocebus_atys
ENSMLEP00000019530	ENSMLEG00000033980	Mandrillus_leucophaeus
ENSMMUP00000005457	ENSMMUG00000004079	Macaca_mulatta
ENSMFAP00000034771	ENSMFAG00000003857	Macaca_fascicularis
ENSTGEP00000032618	ENSTGEG00000026060	Theropithecus_gelada
ENSPANP00000002373	ENSPANG00000018156	Papio_anubis
ENSCSAP00000009166	ENSCSAG00000012988	Chlorocebus_sabaeus
ENSRBIP00000023193	ENSRBIG00000035520	Rhinopithecus_bieti
ENSMNEP00000035676	ENSMNEG00000040994	Macaca_nemestrina
ENSCCAP00000007410	ENSCCAG00000021450	Cebus_capucinus_imitator
ENSSBOP00000036072	ENSSBOG00000034184	Saimiri_boliviensis_boliviensis
ENSCJAP00000024309	ENSCJAG00000013155	Callithrix_jacchus
ENSANAP00000029527	ENSANAG00000032522	Aotus_nancymaae
ENSTSYP00000002215	ENSTSYG00000002404	Carlito_syrichta
ENSPSMP00000007833	ENSPSMG00000005793	Prolemur_simus
ENSPCOP00000013209	ENSPCOG00000018204	Propithecus_coquereli
ENSMICP00000050865	ENSMICG00000049257	Microcebus_murinus
ENSOGAP00000000782	ENSOGAG00000000876	Otolemur_garnettii
ENSOCUP00000038083	ENSOCUG00000000928	Oryctolagus_cuniculus
ENSODEP00000003774	ENSODEG00000002887	Octodon_degus
ENSCLAP00000023186	ENSCLAG00000015912	Chinchilla_lanigera
ENSCPOP00000025276	ENSCPOG00000033188	Cavia_porcellus
ENSCAPP00000008720	ENSCAPG00000010334	Cavia_aperea
ENSHGLP00100016004	ENSHGLG00100011812	Heterocephalus_glaber_HetGla_1.0
ENSHGLP00000017470	ENSHGLG00000012515	Heterocephalus_glaber_HetGla_female_1.0
ENSFDAP00000021520	ENSFDAG00000007656	Fukomys_damarensis
ENSSTOP00000004657	ENSSTOG00000005167	Ictidomys_tridecemlineatus
ENSUPAP00010028788	ENSUPAG00010022711	Urocitellus_parryii
ENSSDAP00000008742	ENSSDAG00000007923	Spermophilus_dauricus
ENSMMMP00000004734	ENSMMMG00000004267	Marmota_marmota_marmota
ENSCCNP00000031029	ENSCCNG00000029609	Castor_canadensis
ENSDORP00000015419	ENSDORG00000016388	Dipodomys_ordii
ENSMUSP00000088801	ENSMUSG00000027668	Mus_musculus_strain_reference_(CL57BL6)
MGP_SPRETEiJ_P0059494	MGP_SPRETEiJ_G0025852	Mus_spretus_strain_SPRET/EiJ
ENSMSIP00000038001	ENSMSIG00000031656	Mus_spicilegus
MGP_CAROLIEiJ_P0057238	MGP_CAROLIEiJ_G0024918	Mus_caroli_strain_CAROLI_EIJ
MGP_PahariEiJ_P0068238	MGP_PahariEiJ_G0026363	Mus_pahari_strain_PAHARI_EIJ
ENSRNOP00000060265	ENSRNOG00000011057	Rattus_norvegicus
ENSMUGP00000027531	ENSMUGG00000022877	Meriones_unguiculatus
ENSCGRP00001024794	ENSCGRG00001022585	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00001025498	ENSCGRG00001023084	Cricetulus_griseus_CHOK1GS_HDv1
ENSCGRP00000020178	ENSCGRG00000014684	Cricetulus_griseus_CriGri_1.0
ENSCGRP00015036191	ENSCGRG00015027133	Cricetulus_griseus_CriGri-PICR
ENSMAUP00000009688	ENSMAUG00000010778	Mesocricetus_auratus
ENSPEMP00000008846	ENSPEMG00000010348	Peromyscus_maniculatus_bairdii
ENSMOCP00000022108	ENSMOCG00000019248	Microtus_ochrogaster
ENSNGAP00000024090	ENSNGAG00000022452	Nannospalax_galili
ENSJJAP00000018468	ENSJJAG00000019731	Jaculus_jaculus
ENSTBEP00000003024	ENSTBEG00000003479	Tupaia_belangeri
ENSOPRP00000007389	ENSOPRG00000008074	Ochotona_princeps
ENSPCAP00000003074	ENSPCAG00000003258	Procavia_capensis
ENSETEP00000012489	ENSETEG00000015404	Echinops_telfairi
ENSLAFP00000007438	ENSLAFG00000008856	Loxodonta_africana
ENSDNOP00000000400	ENSDNOG00000000527	Dasypus_novemcinctus
ENSCHOP00000005593	ENSCHOG00000006314	Choloepus_hoffmanni
ENSOANP00000007436	ENSOANG00000004694	Ornithorhynchus_anatinus
ENSXETP00000034954	ENSXETG00000013661	Xenopus_tropicalis
ENSLACP00000017343	ENSLACG00000015275	Latimeria_chalumnae
ENSCMIP00000004234	ENSCMIG00000002484	Callorhinchus_milii
ENSEBUP00000024164	ENSEBUG00000014863	Eptatretus_burgeri
ENSCSAVP00000017996	ENSCSAVG00000010593	Ciona_savignyi
ENSCINP00000013942	ENSCING00000006787	Ciona_intestinalis
FBpp0310030	FBgn0029870	Drosophila_melanogaster	FBtr0343373
YBR179C_mRNA	YBR179C	Saccharomyces_cerevisiae_strain_S288C
