F55C12.1b.1	WBGene00018869	Caenorhabditis_elegans_strain_N2
ENSSCAP00000017434	ENSSCAG00000012660	Serinus_canaria
ENSTGUP00000003875	ENSTGUG00000003751	Taeniopygia_guttata
ENSLSDP00000002911	ENSLSDG00000002252	Lonchura_striata_domestica
ENSLCOP00000010468	ENSLCOG00000007607	Lepidothrix_coronata
ENSCPRP00005003068	ENSCPRG00005002218	Crocodylus_porosus
ENSGAGP00000035017	ENSGAGG00000024891	Gopherus_agassizii
ENSCABP00000012575	ENSCABG00000009419	Chelonoidis_abingdonii
ENSCPBP00000035792	ENSCPBG00000024891	Chrysemys_picta_bellii
ENSPSIP00000012726	ENSPSIG00000011456	Pelodiscus_sinensis
ENSLACP00000019925	ENSLACG00000017514	Latimeria_chalumnae
ENSPKIP00000022163	ENSPKIG00000006262	Paramormyrops_kingsleyae
ENSSFOP00015028935	ENSSFOG00015018576	Scleropages_formosus
ENSHCOP00000002862	ENSHCOG00000004093	Hippocampus_comes
ENSPMGP00000005793	ENSPMGG00000004868	Periophthalmus_magnuspinnatus
ENSCGOP00000006502	ENSCGOG00000003401	Cottoperca_gobio
ENSGACP00000011186	ENSGACG00000008461	Gasterosteus_aculeatus
ENSLCRP00005019777	ENSLCRG00005008089	Larimichthys_crocea
ENSLBEP00000019102	ENSLBEG00000014681	Labrus_bergylta
ENSTRUP00000038487	ENSTRUG00000015066	Takifugu_rubripes
ENSTNIP00000015789	ENSTNIG00000012814	Tetraodon_nigroviridis
ENSMMOP00000002569	ENSMMOG00000002090	Mola_mola
ENSSDUP00000001977	ENSSDUG00000001557	Seriola_dumerili
ENSSLDP00000016176	ENSSLDG00000012839	Seriola_lalandi_dorsalis
ENSSMAP00000021963	ENSSMAG00000013454	Scophthalmus_maximus
ENSMALP00000001837	ENSMALG00000001378	Monopterus_albus
ENSMAMP00000014844	ENSMAMG00000010078	Mastacembelus_armatus
ENSATEP00000023234	ENSATEG00000016103	Anabas_testudineus
ENSBSLP00000042739	ENSBSLG00000020473	Betta_splendens
ENSCSEP00000018273	ENSCSEG00000011725	Cynoglossus_semilaevis
ENSLCAP00010057300	ENSLCAG00010026738	Lates_calcarifer
ENSPRNP00000037693	ENSPRNG00000018765	Parambassis_ranga
ENSGWIP00000021169	ENSGWIG00000011442	Gouania_willdenowi
ENSAPEP00000010370	ENSAPEG00000007451	Amphiprion_percula
ENSAOCP00000016075	ENSAOCG00000001543	Amphiprion_ocellaris
ENSAPOP00000017931	ENSAPOG00000021205	Acanthochromis_polyacanthus
ENSSPAP00000002413	ENSSPAG00000001839	Stegastes_partitus
ENSACLP00000016817	ENSACLG00000011453	Astatotilapia_calliptera
ENSHBUP00000004297	ENSHBUG00000005583	Haplochromis_burtoni
ENSMZEP00005006180	ENSMZEG00005004811	Maylandia_zebra
ENSNBRP00000030468	ENSNBRG00000023171	Neolamprologus_brichardi
ENSPNYP00000025607	ENSPNYG00000019286	Pundamilia_nyererei
ENSONIP00000025196	ENSONIG00000020009	Oreochromis_niloticus
ENSACIP00000029122	ENSACIG00000022541	Amphilophus_citrinellus
ENSPFOP00000014537	ENSPFOG00000014436	Poecilia_formosa
ENSPLAP00000028842	ENSPLAG00000018542	Poecilia_latipinna
ENSPMEP00000015126	ENSPMEG00000017613	Poecilia_mexicana
ENSPREP00000027377	ENSPREG00000018500	Poecilia_reticulata
ENSXMAP00000025075	ENSXMAG00000020825	Xiphophorus_maculatus
ENSXCOP00000002956	ENSXCOG00000002352	Xiphophorus_couchianus
ENSGAFP00000023421	ENSGAFG00000015810	Gambusia_affinis
ENSFHEP00000021861	ENSFHEG00000001873	Fundulus_heteroclitus
ENSCVAP00000000732	ENSCVAG00000001674	Cyprinodon_variegatus
ENSKMAP00000017315	ENSKMAG00000012905	Kryptolebias_marmoratus
ENSORLP00020010655	ENSORLG00020011558	Oryzias_latipes_ASM223471v1
ENSORLP00000032913	ENSORLG00000007483	Oryzias_latipes_ASM223467v1
ENSORLP00015009138	ENSORLG00015009925	Oryzias_latipes_ASM223469v1
ENSOMEP00000015019	ENSOMEG00000016567	Oryzias_melastigma
ENSGMOP00000002971	ENSGMOG00000002812	Gadus_morhua
ENSHHUP00000073969	ENSHHUG00000043401	Hucho_hucho
ENSHHUP00000011021	ENSHHUG00000006761	Hucho_hucho
ENSELUP00000031725	ENSELUG00000009342	Esox_lucius
ENSAMXP00000020097	ENSAMXG00000019520	Astyanax_mexicanus_Astyanax_mexicanus-2.0
ENSAMXP00005035692	ENSAMXG00005017099	Astyanax_mexicanus_Astyanax_mexicanus-1.0.2
ENSPNAP00000027116	ENSPNAG00000012528	Pygocentrus_nattereri
ENSEEEP00000006655	ENSEEEG00000003527	Electrophorus_electricus
ENSIPUP00000000630	ENSIPUG00000000471	Ictalurus_punctatus
ENSDARP00000149009	ENSDARG00000016490	Danio_rerio
ENSDCDP00000007961	ENSDCDG00000004094	Denticeps_clupeoides
ENSCHAP00000016273	ENSCHAG00000008586	Clupea_harengus
ENSLOCP00000003849	ENSLOCG00000003257	Lepisosteus_oculatus
ENSECRP00000017591	ENSECRG00000011737	Erpetoichthys_calabaricus
ENSCMIP00000019084	ENSCMIG00000008941	Callorhinchus_milii
ENSXETP00000029784	ENSXETG00000007335	Xenopus_tropicalis
ENSCINP00000025778	ENSCING00000014196	Ciona_intestinalis
